Element,Atomic_site_count,Atomic_site_percentage,Material_count,Example_materials
O,4165,13.3118,1062,mp-552738:Bi2TmIO4; mp-1220881:NaTi2TlO6; mp-27484:Tl4O2
Mg,1151,3.6787,601,mp-1039305:BiMg; mp-864762:LiMg2Zn; mp-1185999:Mg2Pb4
F,1126,3.5988,249,mp-1009009:LiF; mp-1536913:F2H2; mp-1110618:GaNa2TlF6
S,1094,3.4965,372,mp-2350:LaS; mp-12776:FeTlS2; mp-7:S6
N,849,2.7135,356,mp-1009545:PaN; mp-1017982:Tl2N2; mp-6933:MnN
Li,798,2.5505,429,mp-1009009:LiF; mp-864762:LiMg2Zn; mp-1173901:CoLi2MnO4
Si,774,2.4738,323,mp-1080455:Cu2Ti2As2Si2; mp-517:Ta3Si6; mp-16237:Ag2LaSi2
Se,773,2.4706,274,mp-1077033:Yb2Se4; mp-1223998:Bi3InSe6; mp-1120759:Pd2Se4
Ge,764,2.4418,315,mp-865403:Mg2Tm4Ge4; mp-3167:Hg2GeSe4; mp-1245827:Ge4N4S2
Cu,707,2.2597,383,mp-1080455:Cu2Ti2As2Si2; mp-1217183:CuSnTi3; mp-1184132:CuSn3
Te,685,2.1893,250,mp-1222182:In2MgTe4; mp-1226360:CrFe2Te4; mp-10256:V2Te2
Ni,586,1.8729,289,mp-567909:Ni2PrSn2; mp-1078924:Ce2Ni4Sb4; mp-21473:GdNi2P2
Ga,550,1.7579,275,mp-1097594:Ca2CdGa; mp-1110618:GaNa2TlF6; mp-569423:Ga6
C,540,1.7259,247,mp-1217142:Ti2CN; mp-16297:Sc3SnC; mp-1008835:OsC2
Pd,533,1.7035,234,mp-1079587:Pd4Yb4; mp-1186431:Pd3S; mp-10223:Na4Pd2S4
Na,527,1.6844,279,mp-1220881:NaTi2TlO6; mp-1186100:Ag3Na; mp-10223:Na4Pd2S4
Ag,508,1.6236,270,mp-1186100:Ag3Na; mp-16237:Ag2LaSi2; mp-865446:AgHgLu2
Mn,504,1.6108,284,mp-1173901:CoLi2MnO4; mp-6933:MnN; mp-25373:LiMnO2
La,488,1.5597,264,mp-2350:LaS; mp-16237:Ag2LaSi2; mp-1079347:La2Rh4As4
Sn,480,1.5341,252,mp-567909:Ni2PrSn2; mp-1775:Au2Sn2; mp-1217183:CuSnTi3
Fe,476,1.5214,255,mp-12776:FeTlS2; mp-571500:Fe2HoB2; mp-1224899:FePb2ReO6
Ti,455,1.4542,245,mp-1080455:Cu2Ti2As2Si2; mp-1220881:NaTi2TlO6; mp-1217183:CuSnTi3
Cl,443,1.4159,134,mp-545344:NdClO5Te2; mp-643754:Hg2Cl2H4N2; mp-570687:Ag2Cl2
In,435,1.3903,255,mp-1223998:Bi3InSe6; mp-1223990:BiIn4; mp-1222182:In2MgTe4
Ca,433,1.3839,236,mp-1097594:Ca2CdGa; mp-1100420:CaNaSb; mp-1183484:Ca4
Zn,418,1.336,238,mp-864762:LiMg2Zn; mp-2647117:Zn; mp-1215578:CdZn4S5
Pt,417,1.3328,190,mp-1097313:LiPt2Sn; mp-1224042:In3Pt5; mp-1025438:Lu4Pt4
B,401,1.2816,148,mp-571500:Fe2HoB2; mp-1002187:TcB; mp-1017230:BiMg6B
H,379,1.2113,132,mp-1536913:F2H2; mp-643754:Hg2Cl2H4N2; mp-978497:HSi3
Al,378,1.2081,198,mp-1079783:Al2Eu2; mp-1225559:Al2EuZn2; mp-1222935:Al2La2Zn2
As,376,1.2017,179,mp-1080455:Cu2Ti2As2Si2; mp-1079347:La2Rh4As4; mp-1183275:Pb6As2
Tl,374,1.1953,200,mp-12776:FeTlS2; mp-1220881:NaTi2TlO6; mp-27484:Tl4O2
Co,373,1.1922,203,mp-1173901:CoLi2MnO4; mp-2240147:CoMgO7P2; mp-571185:CoHfSb
Sb,364,1.1634,201,mp-2012894:Tl2S4Sb2; mp-1100420:CaNaSb; mp-2227123:MgRhO4Sb
P,356,1.1378,166,mp-2240147:CoMgO7P2; mp-5597:CaFe2P2; mp-1077329:Gd2Pd2P2
Bi,354,1.1314,206,mp-552738:Bi2TmIO4; mp-1039305:BiMg; mp-1223998:Bi3InSe6
Rh,344,1.0995,167,mp-2227123:MgRhO4Sb; mp-1079347:La2Rh4As4; mp-1483:Rh4Si4
Au,323,1.0323,177,mp-1775:Au2Sn2; mp-1097567:Au2GaHf; mp-1183880:AuEu2As
